ID,KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,URBANICITY,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,CLAIM_FLAG,CLM_AMT
63581743,0,16-Mar-39,60,0,11,"$67,349 ",No,$0 ,No,M,PhD,Professional,Highly Urban/ Urban,14,Private,"$14,230 ",11,Minivan,"$4,461 ",2,No,3,18,0,$0 
132761049,0,21-Jan-56,43,0,11,"$91,449 ",No,"$257,252 ",No,M,High School,Blue Collar,Highly Urban/ Urban,22,Commercial,"$14,940 ",1,Minivan,$0 ,0,No,0,1,0,$0 
921317019,0,18-Nov-51,48,0,11,"$52,881 ",No,$0 ,No,M,Bachelors,Manager,Highly Urban/ Urban,26,Private,"$21,970 ",1,Van,$0 ,0,No,2,10,0,$0 
727598473,0,5-Mar-64,35,1,10,"$16,039 ",No,"$124,191 ",Yes,F,High School,Clerical,Highly Urban/ Urban,5,Private,"$4,010 ",4,SUV,"$38,690 ",2,No,3,10,0,$0 
450221861,0,5-Jun-48,51,0,14,,No,"$306,251 ",Yes,M,<High School,Blue Collar,Highly Urban/ Urban,32,Private,"$15,440 ",7,Minivan,$0 ,0,No,0,6,0,$0 
743146596,0,17-May-49,50,0,,"$114,986 ",No,"$243,925 ",Yes,F,PhD,Doctor,Highly Urban/ Urban,36,Private,"$18,000 ",1,SUV,"$19,217 ",2,Yes,3,17,0,$0 
871024631,0,5-May-65,34,1,12,"$125,301 ",Yes,$0 ,No,F,Bachelors,Blue Collar,Highly Urban/ Urban,46,Commercial,"$17,430 ",1,Sports Car,$0 ,0,No,0,7,1,"$2,946 "
792300541,0,28-Feb-45,54,0,,"$18,755 ",No,,Yes,F,<High School,Blue Collar,Highly Urban/ Urban,33,Private,"$8,780 ",1,SUV,$0 ,0,No,0,1,0,$0 
7945239,1,17-Sep-59,40,1,11,"$50,815 ",Yes,$0 ,No,M,High School,Manager,Highly Urban/ Urban,21,Private,"$18,930 ",6,Minivan,"$3,295 ",1,No,2,1,1,"$6,477 "
3577610,0,21-Aug-55,44,2,12,"$43,486 ",Yes,$0 ,No,F,High School,Blue Collar,Highly Rural/ Rural,30,Commercial,"$5,900 ",10,SUV,$0 ,0,No,0,10,0,$0 
892208080,1,14-Dec-61,37,2,,"$107,961 ",No,"$333,680 ",Yes,M,Bachelors,Blue Collar,Highly Urban/ Urban,44,Commercial,"$16,970 ",1,Van,"$2,374 ",1,Yes,10,7,1,"$4,021 "
