ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,PARENT1,MSTATUS,GENDER,URBANICITY,TRAVTIME,CAR_USE,BLUEBOOK,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CAR_AGE,EDUCATION_<High School,EDUCATION_High School,EDUCATION_Bachelors,EDUCATION_Masters,EDUCATION_PhD,OCCUPATION_Blue Collar,OCCUPATION_Clerical,OCCUPATION_Doctor,OCCUPATION_Home Maker,OCCUPATION_Lawyer,OCCUPATION_Manager,OCCUPATION_Professional,OCCUPATION_Student,CAR_TYPE_Minivan,CAR_TYPE_Panel Truck,CAR_TYPE_Pickup,CAR_TYPE_SUV,CAR_TYPE_Sports Car,CAR_TYPE_Van,CLAIM_FLAG,CLM_AMT
63581743,0,60.0,0,11.0,0,0,1,1,14,0,14230.0,4461.0,2,0,3,18.0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
132761049,0,43.0,0,11.0,0,0,1,1,22,1,14940.0,0.0,0,0,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
921317019,0,48.0,0,11.0,0,0,1,1,26,0,21970.0,0.0,0,0,2,10.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
727598473,0,35.0,1,10.0,0,1,0,1,5,0,4010.0,38690.0,2,0,3,10.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
871024631,0,34.0,1,12.0,1,0,0,1,46,1,17430.0,0.0,0,0,0,7.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2946.0
7945239,1,40.0,1,11.0,1,0,1,1,21,0,18930.0,3295.0,1,0,2,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,6477.0
3577610,0,44.0,2,12.0,1,0,0,0,30,1,5900.0,0.0,0,0,0,10.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
77382913,0,34.0,0,10.0,0,0,0,1,34,0,11200.0,0.0,0,0,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2501.0
856886560,0,50.0,0,7.0,0,0,1,0,48,1,18510.0,0.0,0,0,1,17.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0
308455362,0,53.0,0,14.0,0,0,0,1,15,0,18300.0,0.0,0,0,0,11.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6077.0
989828809,0,43.0,0,5.0,0,1,0,0,36,0,22420.0,0.0,0,0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0
376482434,0,55.0,0,11.0,0,1,1,1,25,1,17600.0,5028.0,2,1,3,9.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0
588888550,0,45.0,0,0.0,0,1,0,1,48,0,6000.0,0.0,0,0,3,5.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2920.0
140015922,0,39.0,3,12.0,1,0,0,0,43,0,10590.0,0.0,0,0,0,13.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
162166370,0,59.0,0,12.0,0,0,1,1,45,0,15420.0,44857.0,2,0,4,1.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,4111.0
884513944,0,42.0,0,11.0,0,1,1,1,42,0,14190.0,0.0,0,0,0,16.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
627708979,0,34.0,3,13.0,0,1,0,1,27,0,8300.0,0.0,0,0,0,20.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
116375554,0,31.0,2,12.0,0,1,0,1,48,0,17330.0,0.0,0,0,0,7.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
235358484,0,28.0,1,13.0,0,1,0,1,29,1,8710.0,8935.0,2,0,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6857.0
652572577,0,48.0,0,14.0,0,1,0,1,36,0,11130.0,8250.0,1,0,5,14.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.0
410873772,0,47.0,0,11.0,0,0,0,1,29,0,19700.0,0.0,0,0,1,5.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
254362485,2,44.0,2,0.0,0,1,0,1,8,0,5900.0,3338.0,3,0,0,11.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0
201327208,0,60.0,0,12.0,0,1,0,1,16,1,11290.0,0.0,0,0,0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5247.0
573751437,0,33.0,1,13.0,0,1,0,0,27,0,16830.0,0.0,0,0,2,15.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
483050926,0,32.0,1,9.0,0,1,0,1,26,0,10030.0,0.0,0,0,0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4486.0
146989842,1,44.0,2,17.0,0,1,1,1,16,0,22090.0,0.0,0,0,0,12.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0
742435591,0,35.0,0,8.0,0,0,0,1,26,0,12220.0,0.0,0,0,3,12.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
66662029,0,49.0,0,5.0,0,1,1,1,30,0,15880.0,0.0,0,0,1,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
294816298,2,36.0,2,12.0,1,0,0,0,5,1,27200.0,0.0,0,0,0,9.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
686791659,0,52.0,0,8.0,0,1,0,1,37,0,1500.0,0.0,0,0,1,10.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.0
396972296,0,39.0,0,10.0,0,1,1,1,38,1,16640.0,0.0,0,0,0,13.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
364483168,0,56.0,0,0.0,0,1,0,0,65,0,13220.0,0.0,0,0,0,12.0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.0
866093378,0,49.0,0,12.0,0,0,0,1,18,0,17900.0,0.0,0,0,0,14.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0
515421877,0,38.0,0,11.0,0,1,0,0,47,0,12080.0,0.0,0,0,2,9.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
745183922,0,50.0,0,8.0,0,0,0,1,22,0,34150.0,0.0,0,0,3,1.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0
298271736,0,63.0,0,15.0,0,1,0,1,10,0,16270.0,0.0,0,0,0,11.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0
70821537,0,52.0,0,0.0,0,0,0,0,48,1,9280.0,0.0,0,0,1,6.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0
258951025,0,35.0,0,7.0,0,1,1,1,22,1,6450.0,0.0,0,0,0,7.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.0
807174588,0,43.0,0,13.0,0,1,0,1,40,0,23080.0,0.0,0,0,0,8.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.0
514538041,0,41.0,0,10.0,0,0,0,0,44,0,20120.0,0.0,0,0,0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
25561360,0,40.0,0,11.0,0,1,1,1,5,1,29270.0,0.0,0,0,1,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
753037176,0,31.0,1,12.0,0,1,1,1,62,1,4600.0,0.0,0,0,2,5.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0
680782638,0,39.0,3,7.0,0,1,0,0,33,0,4040.0,0.0,0,0,0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
883604551,0,33.0,3,14.0,0,1,1,1,40,0,12270.0,0.0,0,0,3,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
885280620,0,40.0,0,11.0,0,0,1,1,20,1,12230.0,26104.0,1,1,13,6.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6100.0
931739722,0,41.0,2,7.0,1,0,0,1,29,0,14480.0,0.0,0,1,2,1.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0
840809480,0,36.0,3,12.0,0,1,1,1,15,0,10700.0,2045.0,2,0,2,16.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.0
800426023,0,44.0,2,15.0,0,1,0,1,37,0,10520.0,7838.0,1,0,1,1.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,8841.0
