ID,出生日期,性别,婚姻状况,学历,用车区域,车辆用途,车辆价值,车辆类别,年平均里程,年平均车速,主要行车时间,出险频率,出险强度
63581743,1968-03-16,男,未婚,博士,城镇,个人,10-20万,MPV,5千-1万,60-79,日间,1,848
132761049,1979-01-21,男,未婚,高中,城镇,单位,10-20万,MPV,小于5千,60-79,日间,0,0
921317019,1976-11-18,男,未婚,本科,城镇,个人,20-30万,厢式货车,1万-1万5,60-79,夜间,0,0
727598473,1985-03-05,女,已婚,高中,城镇,个人,小于10万,SUV,1万5-2万,80-99,夜间,5,681
450221861,1974-06-05,男,已婚,高中以下,城镇,个人,10-20万,MPV,小于5千,小于40,日间,0,0
743146596,1975-05-17,女,已婚,博士,城镇,个人,10-20万,SUV,1万-1万5,60-79,日间,3,572
871024631,1985-05-05,女,未婚,本科,城镇,单位,10-20万,跑车,1万-1万5,小于40,夜间,2,146
792300541,1972-02-28,女,已婚,高中以下,城镇,个人,小于10万,SUV,1万5-2万,小于40,日间,2,475
7945239,1981-09-17,男,未婚,高中,城镇,个人,10-20万,MPV,1万-1万5,40-59,日间,3,488
3577610,1979-08-21,女,未婚,高中,农村,单位,小于10万,SUV,1万-1万5,小于40,日间,0,0
892208080,1983-12-14,男,已婚,本科,城镇,单位,10-20万,厢式货车,5千-1万,40-59,夜间,3,272
77382913,1985-11-22,女,未婚,本科,城镇,个人,10-20万,SUV,1万-1万5,小于40,日间,0,0
856886560,1975-10-22,男,未婚,本科,农村,单位,10-20万,厢式货车,1万5-2万,小于40,日间,2,200
308455362,1972-12-25,女,未婚,硕士,城镇,个人,10-20万,跑车,5千-1万,大于100,日间,0,0
989828809,1979-06-19,女,已婚,硕士,农村,个人,20-30万,MPV,1万-1万5,小于40,日间,1,39
376482434,1971-03-03,男,已婚,本科,城镇,单位,10-20万,厢式货车,1万-1万5,80-99,夜间,0,0
665591504,1973-07-19,男,未婚,博士,城镇,单位,20-30万,卡车,1万-1万5,小于40,日间,1,586
713692930,1985-08-17,男,未婚,高中,农村,个人,小于10万,轿车,小于5千,小于40,夜间,0,0
588888550,1978-01-17,女,已婚,高中以下,城镇,个人,小于10万,SUV,5千-1万,小于40,夜间,0,0
140015922,1982-08-06,女,未婚,本科,农村,个人,10-20万,SUV,小于5千,80-99,夜间,2,595
162166370,1969-04-19,男,未婚,高中,城镇,个人,10-20万,MPV,1万5-2万,80-99,日间,3,1537
884513944,1979-12-20,男,已婚,硕士,城镇,个人,10-20万,MPV,1万5-2万,40-59,夜间,3,1966
627708979,1985-09-14,女,已婚,硕士,城镇,个人,小于10万,SUV,5千-1万,40-59,日间,1,253
116375554,1987-10-06,女,已婚,高中以下,城镇,个人,10-20万,MPV,大于2万,80-99,夜间,8,88
235358484,1989-02-22,女,已婚,高中,城镇,单位,小于10万,SUV,小于5千,40-59,夜间,0,0
528040687,1979-02-07,男,已婚,高中以下,城镇,单位,20-30万,卡车,5千-1万,60-79,日间,2,423
652572577,1975-12-16,女,已婚,硕士,城镇,个人,10-20万,SUV,大于2万,80-99,日间,9,282
410873772,1977-07-24,女,未婚,高中以下,城镇,个人,10-20万,MPV,5千-1万,60-79,日间,0,0
254362485,1979-07-06,女,已婚,高中,城镇,个人,小于10万,SUV,大于2万,40-59,夜间,8,1737
69165559,1977-04-14,男,已婚,本科,城镇,单位,20-30万,卡车,5千-1万,40-59,日间,0,0
201327208,1968-12-14,女,已婚,高中,城镇,单位,10-20万,跑车,1万5-2万,小于40,夜间,0,0
573751437,1985-12-14,女,已婚,本科,农村,个人,10-20万,SUV,1万5-2万,40-59,日间,4,84
483050926,1986-04-17,女,已婚,高中,城镇,个人,10-20万,SUV,1万5-2万,60-79,日间,5,1206
146989842,1979-04-09,男,已婚,本科,城镇,个人,20-30万,MPV,5千-1万,60-79,日间,0,0
742435591,1985-04-05,女,未婚,本科,城镇,个人,10-20万,SUV,1万5-2万,60-79,日间,5,785
915517588,1981-05-06,女,已婚,硕士,农村,个人,10-20万,SUV,5千-1万,小于40,日间,1,30
756785495,1972-05-15,男,已婚,高中以下,城镇,单位,20-30万,卡车,小于5千,小于40,日间,0,0
66662029,1975-02-14,男,已婚,本科,城镇,个人,10-20万,MPV,5千-1万,80-99,夜间,3,128
294816298,1984-08-03,女,未婚,本科,农村,单位,20-30万,MPV,1万5-2万,60-79,日间,2,1342
686791659,1973-05-07,女,已婚,本科,城镇,个人,小于10万,SUV,1万-1万5,小于40,日间,1,238
269341556,1981-09-28,男,未婚,硕士,城镇,单位,20-30万,卡车,小于5千,60-79,日间,1,751
396972296,1982-07-26,男,已婚,本科,城镇,单位,10-20万,厢式货车,1万-1万5,小于40,日间,0,0
364483168,1971-04-09,女,已婚,博士,农村,个人,10-20万,MPV,5千-1万,小于40,日间,1,155
866093378,1975-03-07,女,未婚,博士,城镇,个人,10-20万,MPV,大于2万,60-79,夜间,3,1325
515421877,1983-05-30,女,已婚,高中,农村,个人,10-20万,SUV,小于5千,60-79,日间,2,379
173737852,1979-06-01,女,已婚,硕士,城镇,单位,20-30万,厢式货车,1万-1万5,小于40,日间,3,118
745183922,1975-06-30,女,未婚,博士,城镇,个人,30-40万,跑车,小于5千,小于40,日间,0,0
298271736,1966-11-04,女,已婚,博士,城镇,个人,10-20万,SUV,5千-1万,小于40,日间,0,0
70821537,1973-08-12,女,未婚,高中,农村,单位,小于10万,SUV,1万5-2万,40-59,日间,4,367
258951025,1985-10-24,男,已婚,本科,城镇,单位,小于10万,轿车,5千-1万,小于40,夜间,1,91
807174588,1979-11-16,女,已婚,本科,城镇,个人,20-30万,跑车,小于5千,40-59,日间,0,0
514538041,1981-10-06,女,未婚,高中,农村,个人,20-30万,MPV,1万5-2万,80-99,夜间,2,2894
25561360,1981-04-08,男,已婚,本科,城镇,单位,20-30万,卡车,小于5千,40-59,日间,0,0
