ID,出生日期,性别,婚姻状况,学历,用车区域,车辆用途,车辆价值,车辆类别,年平均里程,年平均车速,主要行车时间,出险频率,出险强度
63581743,1939/3/16,男,未婚,博士,城镇,个人,10-20万,MPV,5千-1万,60-79,日间,1,848
132761049,1956/1/21,男,未婚,高中,城镇,单位,10-20万,MPV,小于5千,60-79,日间,0,182
921317019,1951/11/18,男,未婚,本科,城镇,个人,20-30万,厢式货车,1万-1万5,60-79,夜间,0,1915
727598473,1964/3/5,女,已婚,高中,城镇,个人,小于10万,SUV,1万5-2万,80-99,夜间,5,681
450221861,1948/6/5,男,已婚,高中以下,城镇,个人,10-20万,MPV,小于5千,小于40,日间,0,63
743146596,1949/5/17,女,已婚,博士,城镇,个人,10-20万,SUV,1万-1万5,60-79,日间,3,572
871024631,1965/5/5,女,未婚,本科,城镇,单位,10-20万,跑车,1万-1万5,小于40,夜间,2,146
792300541,1945/2/28,女,已婚,高中以下,城镇,个人,小于10万,SUV,1万5-2万,小于40,日间,2,475
7945239,1959/9/17,男,未婚,高中,城镇,个人,10-20万,MPV,1万-1万5,40-59,日间,3,488
3577610,1955/8/21,女,未婚,高中,农村,单位,小于10万,SUV,1万-1万5,小于40,日间,0,588
892208080,1961/12/14,男,已婚,本科,城镇,单位,10-20万,厢式货车,5千-1万,40-59,夜间,3,272
77382913,1964/11/22,女,未婚,本科,城镇,个人,10-20万,SUV,1万-1万5,小于40,日间,0,179
856886560,1949/10/22,男,未婚,本科,农村,单位,10-20万,厢式货车,1万5-2万,小于40,日间,2,200
308455362,1945/12/25,女,未婚,硕士,城镇,个人,10-20万,跑车,5千-1万,大于100,日间,0,6583
989828809,1956/6/19,女,已婚,硕士,农村,个人,20-30万,MPV,1万-1万5,小于40,日间,1,39
376482434,1944/3/3,男,已婚,本科,城镇,单位,10-20万,厢式货车,1万-1万5,80-99,夜间,0,3292
665591504,1946/7/19,男,未婚,博士,城镇,单位,20-30万,卡车,1万-1万5,小于40,日间,1,586
713692930,1964/8/17,男,未婚,高中,农村,个人,小于10万,轿车,小于5千,小于40,夜间,0,147
588888550,1954/1/17,女,已婚,高中以下,城镇,个人,小于10万,SUV,5千-1万,小于40,夜间,0,53
140015922,1960/8/6,女,未婚,本科,农村,个人,10-20万,SUV,小于5千,80-99,夜间,2,595
162166370,1940/4/19,男,未婚,高中,城镇,个人,10-20万,MPV,1万5-2万,80-99,日间,3,1537
884513944,1956/12/20,男,已婚,硕士,城镇,个人,10-20万,MPV,1万5-2万,40-59,夜间,3,1966
627708979,1965/9/14,女,已婚,硕士,城镇,个人,小于10万,SUV,5千-1万,40-59,日间,1,253
116375554,1968/10/6,女,已婚,高中以下,城镇,个人,10-20万,MPV,大于2万,80-99,夜间,8,88
235358484,1971/2/22,女,已婚,高中,城镇,单位,小于10万,SUV,小于5千,40-59,夜间,0,796
