客户ID,雇员关系,性别,年龄层级,客户状态,是否外国人,开户渠道,省份名称,年收入
19212,非员工,男,45-60岁,活跃客户,否,KHK,江西,111134.63999999998
19428,非员工,男,60-75岁,活跃客户,否,KHK,广东,117821.07
22865,非员工,女,45-60岁,活跃客户,否,KHK,广东,126364.77
28273,非员工,男,30-45岁,活跃客户,否,KHK,江西,69084.75
29217,非员工,女,45-60岁,活跃客户,否,KHM,广东,85239.84
39997,非员工,男,60-75岁,活跃客户,否,KAT,四川,201575.01
51603,非员工,女,45-60岁,活跃客户,否,KHK,广东,256122.72000000003
57720,非员工,男,45-60岁,活跃客户,否,KHM,广东,56933.79
60699,非员工,男,45-60岁,活跃客户,否,KHK,广东,111767.28
63082,非员工,女,45-60岁,活跃客户,否,KHN,江西,58597.53
63407,非员工,男,45-60岁,活跃客户,否,KHN,江西,80019.24
63617,非员工,男,45-60岁,活跃客户,否,KHK,广东,151816.59
65061,非员工,男,60-75岁,活跃客户,否,KHK,四川,127165.8
69890,非员工,女,45-60岁,活跃客户,否,KAT,江西,28639.590000000004
72743,非员工,女,45-60岁,活跃客户,否,KAT,广东,223917.84
77195,非员工,女,45-60岁,活跃客户,否,KHM,江西,103812.06
81614,非员工,男,45-60岁,活跃客户,否,KHN,江西,43712.64
91303,非员工,女,60-75岁,活跃客户,否,KHN,广东,96079.35
95913,非员工,女,45-60岁,活跃客户,否,KHK,广东,84212.73
96939,非员工,男,45-60岁,活跃客户,否,KHK,广东,117660.6
112906,非员工,男,45-60岁,活跃客户,否,KHN,江西,43254.48
121706,非员工,女,30-45岁,活跃客户,否,KHK,江西,52198.77
123214,非员工,男,60-75岁,活跃客户,否,KHN,广东,126663.6
141477,非员工,男,45-60岁,活跃客户,否,KHK,江西,150962.73
142742,非员工,男,45-60岁,活跃客户,否,KHM,海南,92819.88
142790,非员工,女,30-45岁,活跃客户,否,KAT,陕西,117858.42
154665,非员工,男,30-45岁,活跃客户,否,KFC,江西,60049.86
169314,非员工,男,45-60岁,活跃客户,否,KHK,广东,72511.5
172261,非员工,女,60-75岁,活跃客户,否,KFC,广东,197556.9
176583,非员工,男,30-45岁,活跃客户,否,KHM,江西,94283.19
182711,非员工,女,30-45岁,活跃客户,否,KAT,江西,37242.48
183179,非员工,男,45-60岁,活跃客户,否,KFA,江西,105034.32
197076,非员工,女,60-75岁,活跃客户,否,KAT,四川,108866.37
198461,非员工,女,45-60岁,活跃客户,否,KHM,广东,75828.12
204296,非员工,女,30-45岁,活跃客户,否,KHM,广东,88614.18000000002
208508,非员工,女,45-60岁,活跃客户,否,KHK,广东,84289.5
212764,非员工,男,30-45岁,活跃客户,否,KHK,广东,106455.09
213457,非员工,女,45-60岁,活跃客户,否,KHN,陕西,100736.37
217020,非员工,女,75岁以上,活跃客户,否,KHM,广东,222053.19
231101,非员工,男,45-60岁,活跃客户,否,KHK,广东,91781.55
247704,非员工,男,30-45岁,活跃客户,否,KHM,广东,57122.25
253573,非员工,男,45-60岁,活跃客户,否,KHN,陕西,73999.04999999999
255069,非员工,男,30-45岁,活跃客户,否,KHM,广东,115210.83
264024,非员工,男,60-75岁,活跃客户,否,KHK,广东,236690.34
272653,非员工,男,45-60岁,活跃客户,否,KHN,广东,84945.45000000001
274360,非员工,男,75岁以上,活跃客户,否,KAT,四川,36627.87
292976,非员工,男,30-45岁,活跃客户,否,KHN,陕西,75123.29999999999
294840,非员工,男,30-45岁,活跃客户,否,KHM,江西,60812.52
305716,非员工,女,30-45岁,活跃客户,否,KHM,广东,182844.84
311621,非员工,女,30-45岁,活跃客户,否,KAT,江西,37796.88
316615,非员工,男,60-75岁,活跃客户,否,KAT,陕西,77861.4
318782,非员工,男,30-45岁,活跃客户,否,KHM,江西,98646.45
319586,非员工,男,45-60岁,活跃客户,否,KHL,陕西,166320.3
331432,非员工,女,30-45岁,活跃客户,否,KHM,广东,98860.95
334173,非员工,女,45-60岁,活跃客户,否,KAT,广东,41627.73
