本期ID,性别,出生天数,学历,婚姻状况,就业天数,职业类别,单位类别,年收入,家庭人数,子女人数
100004,男,-19046,高中/职高,未婚,-225,工人,政府部门,67500,1,0
100016,女,-13439,高中/职高,有配偶,-2717,工人,公司类别2,67500,2,0
100030,女,-19334,高中/职高,有配偶,-3494,清洁工,公司类别3,90000,2,0
100037,女,-12974,高中/职高,民事婚姻,-4404,工人,公司类别2,90000,2,0
100072,男,-7907,大学肄业,未婚,-1324,销售人员,贸易类别2,180000,1,0
100085,男,-11187,高中/职高,有配偶,-2224,司机,公司类别1,157500,3,1
100093,女,-18253,高中/职高,有配偶,-721,核心员工,邮政,94500,3,1
100098,男,-17390,高中/职高,民事婚姻,-924,司机,交通类别3,225000,2,0
100139,女,-13286,高中/职高,有配偶,-2305,,公司类别3,157500,3,1
100164,女,-16097,本科及以上,民事婚姻,-2630,核心员工,自由职业,450000,3,1
100167,女,-15127,高中/职高,民事婚姻,-1039,,酒店,180000,2,0
100183,女,-24729,高中/职高,离异,365243,,未知,103500,1,0
100192,女,-7989,高中/职高,未婚,-150,核心员工,贸易类别3,111915,1,0
100201,女,-12147,本科及以上,未婚,-2178,核心员工,贸易类别2,180000,2,1
100213,女,-13873,高中/职高,有配偶,-1282,工人,工业类别3,49500,4,2
100215,女,-21703,高中/职高,民事婚姻,365243,,未知,90000,2,0
100218,男,-13210,本科及以上,未婚,-225,司机,公司类别3,337500,1,0
100221,女,-23656,高中/职高,丧偶,-11883,,银行,225000,1,0
100231,男,-17850,高中/职高,有配偶,-2899,司机,工业类别3,108000,3,1
100259,男,-20672,高中/职高,有配偶,365243,,未知,180000,2,0
100260,男,-10038,本科及以上,未婚,-1746,核心员工,政府部门,180000,1,0
100272,女,-9135,高中/职高,有配偶,-460,销售人员,公司类别2,135000,3,1
100292,女,-21185,高中/职高,有配偶,365243,,未知,202500,2,0
100298,女,-16223,高中/职高,有配偶,-3077,经理,自由职业,270000,2,0
100327,男,-20317,高中/职高,有配偶,-2334,,公司类别3,180000,2,0
100350,女,-22759,高中/职高,有配偶,365243,,未知,112500,2,0
100405,男,-8598,高中/职高,未婚,-220,核心员工,警察,180000,1,0
100411,男,-19410,本科及以上,有配偶,-5545,经理,自由职业,450000,3,1
100415,女,-13552,高中/职高,民事婚姻,-2418,销售人员,自由职业,112500,4,2
100451,女,-19501,高中/职高,有配偶,-10988,工人,公司类别2,144000,2,0
100460,女,-9842,本科及以上,未婚,-157,,公司类别3,315000,1,0
100468,女,-18287,高中/职高,有配偶,365243,,未知,112500,2,0
100477,男,-13715,高中/职高,有配偶,-151,司机,公司类别3,112500,3,1
100482,女,-18579,高中/职高,民事婚姻,-890,医务人员,医疗,112500,2,0
100499,女,-13229,高中/职高,民事婚姻,-1210,,公司类别3,225000,2,0
100524,男,-10936,高中/职高,有配偶,-3186,,公司类别3,112500,2,0
100529,女,-8857,本科及以上,未婚,-348,核心员工,自由职业,135000,1,0
