SK_ID_CURR,CODE_GENDER,DAYS_BIRTH,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,DAYS_EMPLOYED,OCCUPATION_TYPE,ORGANIZATION_TYPE,AMT_INCOME_TOTAL,CNT_FAM_MEMBERS,CNT_CHILDREN
100004,M,-19046,Secondary / secondary special,Single / not married,-225,Laborers,Government,67500.0,1.0,0
100016,F,-13439,Secondary / secondary special,Married,-2717,Laborers,Business Entity Type 2,67500.0,2.0,0
100030,F,-19334,Secondary / secondary special,Married,-3494,Cleaning staff,Business Entity Type 3,90000.0,2.0,0
100037,F,-12974,Secondary / secondary special,Civil marriage,-4404,Laborers,Business Entity Type 2,90000.0,2.0,0
100072,M,-7907,Incomplete higher,Single / not married,-1324,Sales staff,Trade: type 2,180000.0,1.0,0
100085,M,-11187,Secondary / secondary special,Married,-2224,Drivers,Business Entity Type 1,157500.0,3.0,1
100093,F,-18253,Secondary / secondary special,Married,-721,Core staff,Postal,94500.0,3.0,1
100098,M,-17390,Secondary / secondary special,Civil marriage,-924,Drivers,Transport: type 3,225000.0,2.0,0
100139,F,-13286,Secondary / secondary special,Married,-2305,,Business Entity Type 3,157500.0,3.0,1
100164,F,-16097,Higher education,Civil marriage,-2630,Core staff,Self-employed,450000.0,3.0,1
100167,F,-15127,Secondary / secondary special,Civil marriage,-1039,,Hotel,180000.0,2.0,0
100183,F,-24729,Secondary / secondary special,Separated,365243,,XNA,103500.0,1.0,0
100192,F,-7989,Secondary / secondary special,Single / not married,-150,Core staff,Trade: type 3,111915.0,1.0,0
100201,F,-12147,Higher education,Single / not married,-2178,Core staff,Trade: type 2,180000.0,2.0,1
100213,F,-13873,Secondary / secondary special,Married,-1282,Laborers,Industry: type 3,49500.0,4.0,2
100215,F,-21703,Secondary / secondary special,Civil marriage,365243,,XNA,90000.0,2.0,0
100218,M,-13210,Higher education,Single / not married,-225,Drivers,Business Entity Type 3,337500.0,1.0,0
100221,F,-23656,Secondary / secondary special,Widow,-11883,,Bank,225000.0,1.0,0
100231,M,-17850,Secondary / secondary special,Married,-2899,Drivers,Industry: type 3,108000.0,3.0,1
100259,M,-20672,Secondary / secondary special,Married,365243,,XNA,180000.0,2.0,0
100260,M,-10038,Higher education,Single / not married,-1746,Core staff,Government,180000.0,1.0,0
100272,F,-9135,Secondary / secondary special,Married,-460,Sales staff,Business Entity Type 2,135000.0,3.0,1
100292,F,-21185,Secondary / secondary special,Married,365243,,XNA,202500.0,2.0,0
100298,F,-16223,Secondary / secondary special,Married,-3077,Managers,Self-employed,270000.0,2.0,0
100327,M,-20317,Secondary / secondary special,Married,-2334,,Business Entity Type 3,180000.0,2.0,0
100350,F,-22759,Secondary / secondary special,Married,365243,,XNA,112500.0,2.0,0
100405,M,-8598,Secondary / secondary special,Single / not married,-220,Core staff,Police,180000.0,1.0,0
100411,M,-19410,Higher education,Married,-5545,Managers,Self-employed,450000.0,3.0,1
100415,F,-13552,Secondary / secondary special,Civil marriage,-2418,Sales staff,Self-employed,112500.0,4.0,2
100451,F,-19501,Secondary / secondary special,Married,-10988,Laborers,Business Entity Type 2,144000.0,2.0,0
100460,F,-9842,Higher education,Single / not married,-157,,Business Entity Type 3,315000.0,1.0,0
100468,F,-18287,Secondary / secondary special,Married,365243,,XNA,112500.0,2.0,0
100477,M,-13715,Secondary / secondary special,Married,-151,Drivers,Business Entity Type 3,112500.0,3.0,1
100482,F,-18579,Secondary / secondary special,Civil marriage,-890,Medicine staff,Medicine,112500.0,2.0,0
100499,F,-13229,Secondary / secondary special,Civil marriage,-1210,,Business Entity Type 3,225000.0,2.0,0
100524,M,-10936,Secondary / secondary special,Married,-3186,,Business Entity Type 3,112500.0,2.0,0
100529,F,-8857,Higher education,Single / not married,-348,Core staff,Self-employed,135000.0,1.0,0
100541,F,-10616,Secondary / secondary special,Single / not married,-1065,Sales staff,Self-employed,180000.0,3.0,2
100544,F,-13583,Secondary / secondary special,Single / not married,-117,Sales staff,Trade: type 3,96750.0,1.0,0
100545,F,-19058,Secondary / secondary special,Married,-10089,,Emergency,144000.0,2.0,0
100546,M,-23539,Secondary / secondary special,Married,365243,,XNA,67500.0,2.0,0
100550,F,-13768,Higher education,Married,-2722,Laborers,Business Entity Type 3,247500.0,2.0,0
100557,F,-10825,Incomplete higher,Married,-1802,Sales staff,Business Entity Type 3,225000.0,2.0,0
