SK_ID_CURR,TARGET,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_CREDIT,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
291787,0,N,Y,592560.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
187132,0,N,Y,679500.0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
113892,0,N,Y,675000.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,3.0
280634,1,N,N,450000.0,1,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
121672,0,N,Y,314100.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
212598,0,Y,Y,545040.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,2.0
435210,0,Y,N,450000.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,5.0
244236,0,N,Y,1190340.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0
348730,0,N,Y,101880.0,1,1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,5.0
251879,0,Y,N,675000.0,1,1,1,1,0,0,,,,,,
393259,0,Y,Y,1042560.0,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,2.0
421838,0,N,Y,536917.5,1,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,2.0
379763,0,N,Y,640458.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0
374286,0,N,N,276277.5,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
287188,0,N,N,229230.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,4.0
222211,0,Y,Y,352044.0,1,1,0,1,0,0,,,,,,
240789,0,Y,Y,697500.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,5.0
380444,0,Y,N,1575000.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
364835,0,Y,N,254700.0,1,1,0,1,0,0,,,,,,
330509,0,N,N,454500.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,3.0
228320,0,N,Y,539100.0,1,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0
323829,0,N,Y,270000.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0
383265,0,N,Y,526491.0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0
363959,0,N,Y,247500.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
399964,0,N,Y,503676.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,1.0,6.0
142460,0,Y,Y,1027327.5,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
184713,0,N,N,486459.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0
259449,0,N,Y,195543.0,1,1,0,1,1,1,0.0,0.0,0.0,1.0,0.0,2.0
117266,0,Y,Y,180000.0,1,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
334700,0,N,N,573408.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
443065,0,N,Y,1288350.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
203701,0,N,Y,225000.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
315036,0,N,Y,755190.0,1,1,0,1,0,0,,,,,,
412103,0,N,Y,202500.0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,2.0
440108,1,Y,Y,450000.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0
338321,1,N,N,414792.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,2.0
137754,0,N,Y,1057500.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
300620,0,N,N,582768.0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,2.0,2.0
318811,0,N,N,364896.0,1,0,0,1,0,0,,,,,,
436796,0,N,N,900000.0,1,1,1,1,1,0,0.0,0.0,0.0,4.0,0.0,0.0
130015,0,N,N,450000.0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,4.0
206620,1,Y,Y,298512.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,5.0
185567,1,N,Y,755190.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
271554,0,N,Y,180000.0,1,1,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0
400019,0,Y,N,900000.0,1,1,0,1,1,0,,,,,,
416100,0,N,Y,1067418.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
193942,0,N,Y,961794.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,3.0
183471,0,Y,Y,717003.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
212402,0,Y,Y,450000.0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,1.0,3.0
164210,0,Y,N,80865.0,1,1,0,1,1,0,0.0,0.0,0.0,2.0,0.0,4.0
278346,0,N,Y,508495.5,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
345730,0,N,N,238716.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
423309,0,N,N,788103.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
202321,0,N,N,1737000.0,1,1,0,1,1,0,,,,,,
225931,0,N,Y,601470.0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,1.0,1.0
374696,0,Y,Y,717003.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
426056,0,N,Y,180000.0,1,1,1,1,1,0,,,,,,
189593,1,Y,Y,545040.0,1,1,0,1,0,0,0.0,0.0,0.0,1.0,0.0,3.0
156798,0,N,N,1350000.0,1,1,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
201793,0,N,Y,252000.0,1,1,0,1,1,0,0.0,0.0,0.0,1.0,0.0,7.0
433341,0,Y,Y,450000.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
389649,0,N,Y,385749.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
114928,0,Y,N,450000.0,1,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,2.0
260441,0,N,Y,1350000.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,3.0
335094,0,N,N,855000.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0
268254,0,N,N,315000.0,1,1,1,1,1,0,0.0,0.0,0.0,1.0,1.0,0.0
278679,0,N,N,450000.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,5.0
341579,0,N,Y,961609.5,1,1,0,1,0,1,0.0,0.0,0.0,0.0,1.0,2.0
194205,0,N,Y,450000.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,3.0
309391,1,Y,Y,225000.0,1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
249934,0,N,Y,544491.0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,2.0
366359,1,N,Y,571446.0,1,1,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0
329289,0,N,Y,810000.0,1,1,1,1,0,0,0.0,0.0,0.0,1.0,0.0,1.0
420047,0,Y,N,1291500.0,1,1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,1.0
120652,0,N,Y,755190.0,1,1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,3.0
189949,0,N,Y,523597.5,1,0,0,1,0,0,,,,,,
384386,0,Y,N,2156400.0,1,1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0
266308,0,N,Y,271066.5,1,1,0,1,0,0,,,,,,
